classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,20.744470744371938,-12333872.129549408,4637646.105144644,1410.4797244479928,0.07568474860761425,1,1,217
Ground,Point Cloud,21.031679668340075,-12333871.760839352,4637645.860411332,1410.4587933093958,0.08422980086976425,1,1,217
Ground,Point Cloud,21.503505058244627,-12333871.160276683,4637645.924814834,1410.358967879163,0.0720225833524071,1,1,217
Ground,Point Cloud,3459.26177153505,-12333847.18607255,4636578.547842417,1405.0585595513132,0.08618295567254139,1,1,216
Ground,Point Cloud,3459.732787984536,-12333847.783415046,4636578.881130548,1405.0585595513132,0.0754406042572671,1,1,216
Ground,Point Cloud,3459.6616536381916,-12333847.696470315,4636578.444796816,1405.0392385003004,0.06958113984893569,1,1,216
Ground,Point Cloud,3460.0133016865257,-12333848.142464576,4636578.689530128,1405.0585595513132,0.07324330510414283,1,1,216
Ground,Point Cloud,3460.4437981181873,-12333848.689894356,4636578.819947222,1405.0585595513132,0.07641718165865569,1,1,216
Ground,Point Cloud,3460.3715713139754,-12333848.601339538,4636578.409374887,1405.0295779747942,0.08642710002288853,1,1,216
Ground,Point Cloud,3460.8031695800273,-12333849.148769315,4636578.705631003,1405.0488990258068,0.08130006866559854,1,1,216
Ground,Point Cloud,3461.262527285886,-12333849.734841198,4636578.615466097,1405.0392385003004,0.07373159380483711,1,1,216
Ground,Point Cloud,3437.0085371622336,-12333818.832430191,4636578.4077648,1405.6285305561914,0.07837033646143282,1,1,216
Ground,Point Cloud,3437.359586153114,-12333819.27842445,4636578.562333206,1405.5898884541657,0.07837033646143282,1,1,216
Ground,Point Cloud,3437.286095732299,-12333819.188259546,4636578.151760873,1405.519044600452,0.07666132600900283,1,1,216
Ground,Point Cloud,3461.6511344316677,-12333850.232358262,4636578.336920949,1405.0488990258068,0.06933699549858854,1,1,216
Unclassified,Point Cloud,3461.7246997344373,-12333850.322523165,4636578.758763892,1405.0794906899105,0.0742198825055314,1,1,216
